battery,cycle_num,cycle_pct,mean_voltage,min_voltage,std_voltage,max_temp,mean_temp,discharge_duration,capacity,rul
B0005,1,0.005952380952380952,3.5298286688693397,2.612467347907089,0.2359570706808563,38.98218133148803,32.572328114029,3690.234,1.8564874208181574,124
B0005,2,0.011904761904761904,3.5373201277859714,2.587208728940726,0.23476492928592219,39.033397966787035,32.72523522519307,3672.344,1.846327249719927,123
B0005,3,0.017857142857142856,3.5437367282719,2.6519168938437794,0.22752543549673088,38.818796689817404,32.64286193755933,3651.641,1.8353491942234077,122
B0005,4,0.023809523809523808,3.5436661072601456,2.592947964776547,0.23274431724182537,38.7623045063458,32.51487646204882,3631.563,1.8352625275821128,121
B0005,5,0.02976190476190476,3.5423432526672167,2.547419651124539,0.2366885716567803,38.66539257343368,32.38234901543077,3629.172,1.8346455082120419,120
B0005,6,0.03571428571428571,3.5413347346347575,2.5209480504077413,0.23931625998293235,38.75169504640032,32.43418218230641,3652.281,1.8356616600675495,119
B0005,7,0.041666666666666664,3.5410250495075215,2.487927319492314,0.2425153341196382,38.8207012322275,32.480416444757985,3650.828,1.8351461429226603,118
B0005,8,0.047619047619047616,3.554133296801584,2.6652049047458775,0.22731251096165395,38.51713023385634,32.41046186109587,3572.453,1.8257567905665537,117
B0005,9,0.05357142857142857,3.5529355991467955,2.6038584726333673,0.2324538495076242,38.526267904657,32.3461408313,3550.594,1.8247738529891333,116
B0005,10,0.05952380952380952,3.5512057319376997,2.552853984885676,0.23672870147542147,38.52698128472781,32.27679750791685,3551.25,1.824613268496936,115
B0005,11,0.06547619047619048,3.549292319740949,2.4724483018527317,0.2430973444996006,38.54143406601644,32.15709350345252,3530.25,1.8246195526864504,114
B0005,12,0.07142857142857142,3.559759220648976,2.64956413267546,0.22886185175957943,38.52197451768004,32.36407129853099,3491.016,1.8142019357673917,113
B0005,13,0.07738095238095238,3.558081969139198,2.5724981777366227,0.23460775776275253,38.582485834057856,32.3181954403762,3470.281,1.8137521577549054,112
B0005,14,0.08333333333333333,3.555692244172496,2.5249886697730286,0.237911318298918,38.520294134873915,32.15709029211502,3470.0,1.8134404914735822,111
B0005,15,0.08928571428571429,3.562746818017503,2.694621861688723,0.22392608690207388,38.21358592965045,32.04407000314609,3450.297,1.8025980036306504,110
B0005,16,0.09523809523809523,3.5614521756489204,2.64010141737067,0.22796979172772144,38.1983618706913,31.931593674911532,3429.407,1.80210690024615,109
B0005,17,0.10119047619047619,3.5603420474985823,2.5739035098380962,0.23297600498562532,38.31926916027133,31.941655359029298,3409.484,1.802579500826209,108
B0005,18,0.10714285714285714,3.5591189041401865,2.4942396831720126,0.23873643876806222,38.4787542519308,31.965008645476725,3390.422,1.8030683142834096,107
B0005,19,0.1130952380952381,3.557886771846508,2.4556793246645583,0.24145031412156678,38.54659017774874,31.966241678512723,3390.281,1.8027776247196041,106
B0005,20,0.11904761904761904,3.5520375235511907,2.632142800798914,0.23416563071224794,38.44749852224995,32.37143341978575,3591.734,1.8470259949329193,105
B0005,21,0.125,3.5525668436897124,2.5027764692056795,0.2441722414090925,38.992275791716615,32.70024990461686,3552.297,1.847417311283644,104
B0005,22,0.13095238095238096,3.556794038327039,2.617507742871704,0.23311973567394634,38.51424197364312,32.32266411829938,3531.578,1.8361774213478947,103
B0005,23,0.13690476190476192,3.5614100044534203,2.694074478000972,0.22484633144049296,38.165816144899125,31.98795810666763,3492.907,1.8257807475776242,102
B0005,24,0.14285714285714285,3.5566107947817986,2.6237674644021887,0.23067449635182954,38.16526203587147,31.894456524691385,3511.594,1.8251136435078368,101
B0005,25,0.1488095238095238,3.5586742170266272,2.5010798299873738,0.23845858592777874,38.27549578575718,31.78039681801023,3431.9370000000054,1.8255815042203762,100
B0005,26,0.15476190476190477,3.564103182686905,2.6849988185249796,0.22371289710668404,37.982160799183106,31.688747146342205,3431.125,1.8140311275083907,99
